id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
1004,678,Meowstic,Meowstic (Female),Competitive,,,Constraint Pokémon,1.0,Espurr
1005,681,Aegislash,Aegislash (Blade Forme),,,,Royal Sword Pokémon,0.5,Doublade
1006,710,Pumpkaboo,Pumpkaboo (Small Size),Insomnia,,,Pumpkin Pokémon,0.5,
1007,710,Pumpkaboo,Pumpkaboo (Large Size),Insomnia,,,Pumpkin Pokémon,0.5,
1008,710,Pumpkaboo,Pumpkaboo (Super Size),Insomnia,,,Pumpkin Pokémon,0.5,
1009,711,Gourgeist,Gourgeist (Small Size),Insomnia,,,Pumpkin Pokémon,0.5,Pumpkaboo (Small Size)
1010,711,Gourgeist,Gourgeist (Large Size),Insomnia,,,Pumpkin Pokémon,0.5,Pumpkaboo (Large Size)
1011,711,Gourgeist,Gourgeist (Super Size),Insomnia,,,Pumpkin Pokémon,0.5,Pumpkaboo (Super Size)
1012,716,Xerneas,Xerneas (Active Mode),,,,Life Pokémon,,
1013,718,Zygarde,Zygarde (10% Forme),Power Construct,"Its sharp fangs make short work of finishing off its enemies, but it’s unable to maintain this body indefinitely. After a period of time, it falls apart.",This is Zygarde’s form when about 10% of its cells have been gathered. It runs across the land at speeds greater than 60 mph.,Order Pokémon,,
1014,718,Zygarde,Zygarde (10% Forme),,"Its sharp fangs make short work of finishing off its enemies, but it’s unable to maintain this body indefinitely. After a period of time, it falls apart.",This is Zygarde’s form when about 10% of its cells have been gathered. It runs across the land at speeds greater than 60 mph.,Order Pokémon,,
1015,718,Zygarde,Zygarde (50% Forme),,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy.",It’s thought to be monitoring the ecosystem. There are rumors that even greater power lies hidden within it.,Order Pokémon,,
1016,718,Zygarde,Zygarde (Complete Forme),Power Construct,This is Zygarde’s form at times when it uses its overwhelming power to suppress those who endanger the ecosystem.,This is Zygarde’s 100% form. It has enough power to overwhelm even Xerneas or Yveltal.,Order Pokémon,,
1017,719,Diancie,Diancie (Mega Diancie),,,,Jewel Pokémon,,
1018,720,Hoopa,Hoopa (Hoopa Unbound),,,,Djinn Pokémon,,
1019,735,Gumshoos,Gumshoos (1),Adaptability,,,Stakeout Pokémon,0.5,
1020,738,Vikavolt,Vikavolt (1),Levitate,,,Stag Beetle Pokémon,0.5,
1021,741,Oricorio,Oricorio (Pom-Pom Style),Dancer,"This Oricorio has sipped bright yellow nectar. Its bright, cheerful dance melts the hearts of its enemies.",It creates an electric charge by rubbing its feathers together. It dances over to its enemies and delivers shocking electrical punches.,Dancing Pokémon,0.75,
1022,741,Oricorio,Oricorio (Pa’u Style),Dancer,"This Oricorio relaxes by swaying gently. This increases its psychic energy, which it then fires at its enemies.",This Oricorio has sipped pink nectar. Its enemies’ hearts melt at the sight of its gently swaying hips.,Dancing Pokémon,0.75,
1023,741,Oricorio,Oricorio (Sensu Style),Dancer,"This Oricorio has sipped purple nectar. Its elegant, attractive dance will send the minds and hearts of its enemies to another world.","It summons the dead with its dreamy dancing. From their malice, it draws power with which to curse its enemies.",Dancing Pokémon,0.75,
1024,745,Lycanroc,Lycanroc (Midnight Form),No Guard,"The more intimidating the opponent it faces, the more this Pokémon’s blood boils. It will attack with no regard for its own safety.","It goads its enemies into attacking, withstands the hits, and in return, delivers a headbutt, crushing their bones with its rocky mane.",Wolf Pokémon,0.5,Rockruff
1025,746,Wishiwashi,Wishiwashi (School Form),Schooling,"Weak Wishiwashi school together to concentrate their power. Their united force makes them the demon of the sea, feared near and far.","At their appearance, even Gyarados will flee. When they team up to use Water Gun, its power exceeds that of Hydro Pump.",Small Fry Pokémon,0.5,
1026,754,Lurantis,Lurantis (1),Contrary,,,Bloom Sickle Pokémon,0.5,
1027,758,Salazzle,Salazzle (1),Oblivious,,,Toxic Lizard Pokémon,1.0,
1028,773,Silvally,Silvally (Type: Fighting),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1029,773,Silvally,Silvally (Type: Flying),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1030,773,Silvally,Silvally (Type: Poison),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1031,773,Silvally,Silvally (Type: Ground),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1032,773,Silvally,Silvally (Type: Rock),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1033,773,Silvally,Silvally (Type: Bug),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1034,773,Silvally,Silvally (Type: Ghost),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1035,773,Silvally,Silvally (Type: Steel),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1036,773,Silvally,Silvally (Type: Fire),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1037,773,Silvally,Silvally (Type: Water),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1038,773,Silvally,Silvally (Type: Grass),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1039,773,Silvally,Silvally (Type: Electric),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1040,773,Silvally,Silvally (Type: Psychic),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1041,773,Silvally,Silvally (Type: Ice),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1042,773,Silvally,Silvally (Type: Dragon),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1043,773,Silvally,Silvally (Type: Dark),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1044,773,Silvally,Silvally (Type: Fairy),RKS System,It destroyed its own control mask. It has become capable of changing its type by equipping special memories.,"Upon awakening, its RKS System is activated. By employing specific memories, this Pokémon can adapt its type to confound its enemies.",Synthetic Pokémon,,Type: Null
1045,774,Minior,Minior (Meteor Form),Shields Down,,,Meteor Pokémon,,
1046,774,Minior,Minior (Meteor Form),Shields Down,,,Meteor Pokémon,,
1047,774,Minior,Minior (Meteor Form),Shields Down,,,Meteor Pokémon,,
1048,774,Minior,Minior (Meteor Form),Shields Down,,,Meteor Pokémon,,
1049,774,Minior,Minior (Meteor Form),Shields Down,,,Meteor Pokémon,,
1050,774,Minior,Minior (Meteor Form),Shields Down,,,Meteor Pokémon,,
1051,774,Minior,Minior (Red Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1052,774,Minior,Minior (Orange Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1053,774,Minior,Minior (Yellow Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1054,774,Minior,Minior (Green Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1055,774,Minior,Minior (Blue Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1056,774,Minior,Minior (Indigo Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1057,774,Minior,Minior (Violet Core),Shields Down,It eats dust in the atmosphere. The composition of the dust determines the color of its core.,"If its core stays exposed, it will soon die off. It’s possible that it may survive if it’s put into a Poké Ball quickly enough.",Meteor Pokémon,,
1058,778,Mimikyu,Mimikyu (Busted Form),Disguise,"After going to all the effort of disguising itself, its neck was broken. Whatever is inside is probably unharmed, but it’s still feeling sad.","If its neck is broken or its rag torn during an attack, it works through the night to patch it.",Disguise Pokémon,0.5,
1059,778,Mimikyu,Mimikyu (2),Disguise,,,Disguise Pokémon,0.5,
1060,778,Mimikyu,Mimikyu (3),Disguise,,,Disguise Pokémon,0.5,
1061,784,Kommo-o,Kommo-o (1),Overcoat,,,Scaly Pokémon,0.5,
1062,801,Magearna,Magearna (Original Color),Soul-Heart,This beautiful form reflects Magearna’s appearance when first presented to a king’s daughter 500 years ago.,This gorgeous Magearna looks as it did at the time of its invention. Its luxurious decoration pleased the king’s daughter.,Artificial Pokémon,,
